"135","INTELBRAS S/A - IND DE TEL ELET BRA","256356/02",NULL,"2026-01-02",NULL,NULL,"8345.02","Em aberto","Ref. a NF nº 256356","Importação PDF"
"136","INTELBRAS S/A - IND DE TEL ELET BRA","281573/01",NULL,"2026-01-02",NULL,NULL,"13834.65","Em aberto","Ref. a NF nº 281573","Importação PDF"
"137","INTELBRAS S/A - IND DE TEL ELET BRA","283103/01",NULL,"2026-01-02",NULL,NULL,"1580.55","Em aberto","Ref. a NF nº 283103","Importação PDF"
"138","INTELBRAS S/A - IND DE TEL ELET BRA","256295/02",NULL,"2026-01-02",NULL,NULL,"55.34","Em aberto","Ref. a NF nº 256295","Importação PDF"
"139","INTELBRAS S/A - IND DE TEL ELET BRA","256301/02",NULL,"2026-01-02",NULL,NULL,"3458.56","Em aberto","Ref. a NF nº 256301","Importação PDF"
"140","INTELBRAS S/A - IND DE TEL ELET BRA","281542/01",NULL,"2026-01-02",NULL,NULL,"1370.73","Em aberto","Ref. a NF nº 281542","Importação PDF"
"141","INTELBRAS S/A - IND DE TEL ELET BRA","285855/01",NULL,"2026-01-05",NULL,NULL,"6422.08","Em aberto","Ref. a NF nº 285855","Importação PDF"
"142","INTELBRAS S/A - IND DE TEL ELET BRA","262940/02",NULL,"2026-01-07",NULL,NULL,"1580.50","Em aberto","Ref. a NF nº 262940","Importação PDF"
"143","INTELBRAS S/A - IND DE TEL ELET BRA","264492/02",NULL,"2026-01-08",NULL,NULL,"1580.50","Em aberto","Ref. a NF nº 264492","Importação PDF"
"144","INTELBRAS S/A - IND DE TEL ELET BRA","240517/03",NULL,"2026-01-09",NULL,NULL,"589.36","Em aberto","Ref. a NF nº 240517","Importação PDF"
"145","INTELBRAS S/A - IND DE TEL ELET BRA","240522/03",NULL,"2026-01-09",NULL,NULL,"35884.97","Em aberto","Ref. a NF nº 240522","Importação PDF"
"146","INTELBRAS S/A - IND DE TEL ELET BRA","274074/02",NULL,"2026-01-20",NULL,NULL,"6917.12","Em aberto","Ref. a NF nº 274074","Importação PDF"
"147","INTELBRAS S/A - IND DE TEL ELET BRA","253030/03",NULL,"2026-01-22",NULL,NULL,"11027.34","Em aberto","Ref. a NF nº 253030","Importação PDF"
"148","INTELBRAS S/A - IND DE TEL ELET BRA","253003/03",NULL,"2026-01-22",NULL,NULL,"1825.84","Em aberto","Ref. a NF nº 253003","Importação PDF"
"149","INTELBRAS S/A - IND DE TEL ELET BRA","253014/03",NULL,"2026-01-22",NULL,NULL,"3219.35","Em aberto","Ref. a NF nº 253014","Importação PDF"
"150","INTELBRAS S/A - IND DE TEL ELET BRA","278908/02",NULL,"2026-01-26",NULL,NULL,"1580.50","Em aberto","Ref. a NF nº 278908","Importação PDF"
"151","INTELBRAS S/A - IND DE TEL ELET BRA","280121/02",NULL,"2026-01-26",NULL,NULL,"5425.06","Em aberto","Ref. a NF nº 280121","Importação PDF"
